x,y,species_1 cloglog values
871.0,871.0,0.3707132
872.0,872.0,0.008273645
873.0,873.0,0.0020789679
874.0,874.0,0.001874399
875.0,875.0,8.838108E-4
876.0,876.0,0.04881762
877.0,877.0,0.8468057
878.0,878.0,0.23995434
879.0,879.0,0.4656437
880.0,880.0,5.267224E-4
881.0,881.0,0.46166572
882.0,882.0,1.9795312E-4
883.0,883.0,0.27525485
884.0,884.0,0.15229826
885.0,885.0,0.09193982
886.0,886.0,0.0031654134
887.0,887.0,0.46131364
888.0,888.0,0.49335548
889.0,889.0,0.2373039
890.0,890.0,1.1182777E-4
891.0,891.0,0.35898426
892.0,892.0,0.06449057
893.0,893.0,0.0033101854
894.0,894.0,0.02968917
895.0,895.0,0.49482453
896.0,896.0,0.12400227
897.0,897.0,0.23749048
898.0,898.0,1.583266E-4
899.0,899.0,0.2541776
900.0,900.0,0.06078159
901.0,901.0,0.253111
902.0,902.0,0.11656949
903.0,903.0,0.32534337
904.0,904.0,0.32457277
905.0,905.0,0.19953968
906.0,906.0,0.18621908
907.0,907.0,1.3698325E-4
908.0,908.0,0.28537035
909.0,909.0,4.1869015E-4
910.0,910.0,0.5379759
911.0,911.0,3.4371702E-4
912.0,912.0,0.03647348
913.0,913.0,0.020847302
914.0,914.0,0.0041188486
915.0,915.0,0.14496748
916.0,916.0,0.37952602
917.0,917.0,0.019053636
918.0,918.0,8.909549E-4
919.0,919.0,6.041235E-4
920.0,920.0,0.001622696
921.0,921.0,0.29391992
922.0,922.0,0.99577636
923.0,923.0,1.7562015E-4
924.0,924.0,0.3540153
925.0,925.0,0.38970593
926.0,926.0,0.18466832
927.0,927.0,0.18845534
928.0,928.0,0.39893037
929.0,929.0,0.35622972
930.0,930.0,0.14660007
931.0,931.0,3.2550757E-4
932.0,932.0,0.21358895
933.0,933.0,0.05284938
934.0,934.0,0.0020326367
935.0,935.0,1.4108955E-4
936.0,936.0,0.0010262579
937.0,937.0,0.26952338
938.0,938.0,0.3091627
939.0,939.0,0.007505646
940.0,940.0,0.112709716
941.0,941.0,0.5847926
942.0,942.0,0.0138639
943.0,943.0,0.07787062
944.0,944.0,0.0053720833
945.0,945.0,0.004919422
946.0,946.0,0.071735285
947.0,947.0,0.05309565
948.0,948.0,0.11197367
949.0,949.0,0.0011837606
950.0,950.0,0.024949169
951.0,951.0,0.5933245
952.0,952.0,0.003348979
