x,y,species_1 cloglog values
560.0,560.0,0.010462858
561.0,561.0,0.042305525
562.0,562.0,0.0019708732
563.0,563.0,0.009697397
564.0,564.0,0.010955482
565.0,565.0,1.855172E-4
566.0,566.0,0.0036146592
567.0,567.0,0.0064009363
568.0,568.0,2.38427E-4
569.0,569.0,8.095076E-4
570.0,570.0,0.009517194
571.0,571.0,0.8585111
572.0,572.0,0.021179708
573.0,573.0,0.014336316
574.0,574.0,0.6139198
575.0,575.0,0.743965
576.0,576.0,0.0024847437
577.0,577.0,0.010038086
578.0,578.0,0.018044667
579.0,579.0,0.85388047
580.0,580.0,8.932493E-4
581.0,581.0,5.167639E-5
582.0,582.0,5.9361954E-4
583.0,583.0,0.003387399
584.0,584.0,0.006488791
585.0,585.0,6.5271155E-4
586.0,586.0,0.001471375
587.0,587.0,0.019429546
588.0,588.0,1.4961959E-4
589.0,589.0,9.0560505E-5
590.0,590.0,8.6547114E-4
591.0,591.0,0.006788136
592.0,592.0,0.011063194
593.0,593.0,0.0067185666
594.0,594.0,0.0011509223
595.0,595.0,0.04834364
596.0,596.0,1.2669827E-4
597.0,597.0,0.0070572593
598.0,598.0,0.001051563
599.0,599.0,0.0044532944
600.0,600.0,0.7347844
601.0,601.0,0.0469653
602.0,602.0,8.289825E-5
603.0,603.0,0.010293622
604.0,604.0,0.0015423789
605.0,605.0,0.010660255
606.0,606.0,0.81702995
607.0,607.0,8.5853727E-4
608.0,608.0,0.004265536
609.0,609.0,0.0062875315
610.0,610.0,4.3964235E-4
611.0,611.0,1.1402094E-4
612.0,612.0,0.0067808656
613.0,613.0,0.011037443
614.0,614.0,0.005346549
615.0,615.0,0.01754615
616.0,616.0,0.0032833745
617.0,617.0,0.009591825
618.0,618.0,0.008950694
619.0,619.0,0.0019265007
620.0,620.0,0.008965668
621.0,621.0,1.7470711E-4
622.0,622.0,0.0445671
623.0,623.0,0.0022689847
624.0,624.0,2.9462134E-4
625.0,625.0,0.00659466
626.0,626.0,0.035737984
627.0,627.0,4.4665987E-5
628.0,628.0,0.0019172778
629.0,629.0,1.4788747E-5
630.0,630.0,0.00836553
631.0,631.0,0.91181433
632.0,632.0,0.18379797
633.0,633.0,0.0095923515
634.0,634.0,0.017318767
635.0,635.0,0.6639207
636.0,636.0,6.403533E-5
637.0,637.0,0.0013788262
638.0,638.0,0.0020770843
639.0,639.0,0.001740444
640.0,640.0,0.0047046887
641.0,641.0,1.6662938E-5
642.0,642.0,8.7663817E-4
643.0,643.0,0.015753012
644.0,644.0,0.006815122
645.0,645.0,5.3539334E-5
646.0,646.0,0.021588512
647.0,647.0,0.04145229
648.0,648.0,0.0058072763
649.0,649.0,0.011850727
650.0,650.0,0.008989715
651.0,651.0,0.026583893
652.0,652.0,0.003112858
653.0,653.0,0.0038547022
654.0,654.0,0.47681302
655.0,655.0,0.0073428284
656.0,656.0,0.0023711638
657.0,657.0,7.170887E-4
658.0,658.0,2.9155298E-4
659.0,659.0,1.09018874E-4
660.0,660.0,0.008069313
661.0,661.0,0.4609035
662.0,662.0,0.36320472
663.0,663.0,0.0036794625
664.0,664.0,4.0359842E-4
665.0,665.0,0.65623814
666.0,666.0,0.3077534
667.0,667.0,0.00609987
668.0,668.0,0.008589714
669.0,669.0,0.44843888
670.0,670.0,0.006526376
671.0,671.0,2.3135706E-5
672.0,672.0,4.059006E-5
673.0,673.0,2.0953594E-5
674.0,674.0,3.9064782E-4
675.0,675.0,0.06549371
676.0,676.0,0.0055102357
677.0,677.0,0.084690675
678.0,678.0,0.0035646937
679.0,679.0,0.40933132
680.0,680.0,7.671326E-6
681.0,681.0,0.0031975238
682.0,682.0,0.31055123
683.0,683.0,0.014344619
684.0,684.0,0.005378477
685.0,685.0,2.56932E-4
686.0,686.0,0.42980856
687.0,687.0,0.013169367
688.0,688.0,0.13056076
689.0,689.0,0.00735418
